Id,birth,death|
960,23.0,34.0
961,23.0,47.0
962,23.0,44.0
963,23.0,98.0
964,23.0,42.0
965,23.0,46.0
966,23.0,52.0
967,23.0,26.0
968,23.0,74.0
969,23.0,48.0
970,23.0,35.0
971,23.0,39.0
972,23.0,54.0
973,23.0,37.0
974,23.0,39.0
975,23.0,24.0
976,23.0,40.0
977,23.0,73.0
978,23.0,26.0
979,23.0,25.0
980,23.0,36.0
981,23.0,50.0
982,23.0,31.0
983,23.0,57.0
984,23.0,74.0
985,23.0,32.0
986,23.0,46.0
987,23.0,49.0
988,23.0,41.0
989,23.0,40.0
990,23.0,60.0
991,23.0,40.0
992,23.0,47.0
993,23.0,37.0
994,23.0,34.0
995,23.0,27.0
996,23.0,29.0
997,23.0,68.0
998,23.0,25.0
999,23.0,85.0
1000,23.0,63.0
1001,23.0,30.0
1002,23.0,45.0
1003,23.0,26.0
1004,23.0,32.0
1005,23.0,26.0
1006,23.0,124.0
1007,23.0,41.0
1008,23.0,47.0
1009,23.0,52.0
1010,23.0,39.0
1011,23.0,24.0
1012,23.0,23.0
1013,23.0,23.0
1014,23.0,37.0
1015,23.0,29.0
1016,23.0,65.0
1017,23.0,26.0
1018,23.0,26.0
1019,23.0,27.0
1020,23.0,30.0
1021,23.0,31.0
1022,23.0,31.0
1023,23.0,26.0
1024,23.0,24.0
1025,23.0,30.0
1026,23.0,25.0
1027,23.0,34.0
1028,23.0,44.0
1029,23.0,26.0
1030,23.0,27.0
1031,23.0,29.0
1032,23.0,40.0
1033,23.0,25.0
1034,23.0,25.0
1035,23.0,67.0
1036,23.0,32.0
1037,23.0,40.0
1038,23.0,23.0
1039,23.0,30.0
1040,23.0,37.0
1041,23.0,78.0
1042,23.0,36.0
1043,23.0,54.0
1044,23.0,67.0
1045,23.0,26.0
1046,23.0,36.0
1047,23.0,60.0
1048,23.0,29.0
1049,23.0,36.0
1050,23.0,37.0
1051,23.0,71.0
1052,23.0,39.0
1053,23.0,30.0
1054,23.0,25.0
1055,23.0,50.0
1056,23.0,24.0
1057,23.0,24.0
1058,23.0,29.0
1059,23.0,31.0
1060,23.0,31.0
1061,23.0,29.0
1062,23.0,41.0
1063,23.0,36.0
1064,23.0,42.0
1065,23.0,24.0
1066,23.0,28.0
1067,23.0,53.0
1068,23.0,31.0
1069,23.0,28.0
1070,23.0,32.0
1071,23.0,24.0
1072,23.0,31.0
1073,23.0,42.0
1074,23.0,35.0
1075,23.0,25.0
1076,23.0,37.0
1077,23.0,31.0
1078,23.0,23.0
1079,23.0,32.0
1080,23.0,51.0
1081,23.0,24.0
1082,23.0,36.0
